"ID"	"Session"	"Date"	"Trades"	"Min. price"	"Max.price"	"Weighted avg. price"	"Weighted closing price"	"Volume in Securities"	"Volume in GEL"
"3935"	"UGB"	"365"	"23/10/03"	1	0.72	0.72	0.72	NA	154	110.88
"3936"	"UGB"	"376"	"2/12/03"	5	0.72	0.72	0.72	NA	449	323.28
"3937"	"UGB"	"388"	"15/01/04"	2	0.72	0.72	0.72	NA	603	434.16
"3938"	"UGB"	"393"	"3/02/04"	1	1	1	1	NA	72	72
"3939"	"UGB"	"400"	"26/02/04"	2	0.1	1	0.1783	NA	23	4.1
"3940"	"UGB"	"407"	"23/03/04"	1	0.5	0.5	0.5	NA	154	77
"3941"	"UGB"	"423"	"18/05/04"	3	0.55	0.55	0.55	NA	10546	5800.3
"3942"	"UGB"	"427"	"1/06/04"	3	0.4	0.4	0.4	NA	58221	23288.4
"3943"	"UGB"	"428"	"3/06/04"	4	0.4	0.6	0.4252	NA	47792	20319.4
"3944"	"UGB"	"429"	"8/06/04"	3	0.4	0.4	0.4	NA	16440	6576
"3945"	"UGB"	"430"	"10/06/04"	3	0.4	0.4	0.4	NA	32945	13178
"3946"	"UGB"	"431"	"15/06/04"	3	0.4	0.4	0.4	NA	25276	10110.4
"3947"	"UGB"	"432"	"17/06/04"	3	0.4	0.4	0.4	NA	12165	4866
"3948"	"UGB"	"435"	"29/06/04"	5	0.45	0.7	0.4515	NA	331395	149615.9
"3949"	"UGB"	"436"	"1/07/04"	3	0.45	0.45	0.45	NA	297739	133982.55
"3950"	"UGB"	"437"	"6/07/04"	4	0.45	0.45	0.45	NA	370539	166742.55
"3951"	"UGB"	"438"	"8/07/04"	3	0.45	0.45	0.45	NA	386549	173947.05
"3952"	"UGB"	"439"	"13/07/04"	2	0.45	0.45	0.45	NA	55539	24992.55
"3953"	"UGB"	"440"	"15/07/04"	3	0.7	0.7	0.7	NA	19023	13316.1
"3954"	"UGB"	"441"	"20/07/04"	3	0.6	0.6	0.6	NA	4048	2428.8
